################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  121.500   -8.000    0.000    3.017
  121.500   -8.250    0.000    3.021
  121.500   -8.500    0.000    3.198
  121.500   -8.750    0.000    3.318
  121.500   -9.000    0.000    3.131
  121.500   -9.250    0.000    2.672
  121.500   -9.500    0.000    2.918
  121.500   -9.750    0.000    2.959
  121.500  -10.000    0.000    3.070
  121.500  -10.250    0.000    2.964
  121.500  -10.500    0.000    2.909
  121.500  -10.750    0.000    2.975
  121.500  -11.000    0.000    2.989
  121.500  -11.250    0.000    3.000
  121.750   -7.500    0.000    3.000
  121.750   -7.750    0.000    2.996
  121.750   -8.000    0.000    2.987
  121.750   -8.250    0.000    2.928
  121.750   -8.500    0.000    3.140
  121.750   -8.750    0.000    3.319
  121.750   -9.000    0.000    2.978
  121.750   -9.250    0.000    2.777
  121.750   -9.500    0.000    3.088
  121.750   -9.750    0.000    2.964
  121.750  -10.000    0.000    2.886
  121.750  -10.250    0.000    2.968
  121.750  -10.500    0.000    2.947
  121.750  -10.750    0.000    2.982
  121.750  -11.000    0.000    2.994
  121.750  -11.250    0.000    3.000
  122.000   -7.500    0.000    3.000
  122.000   -7.750    0.000    2.986
  122.000   -8.000    0.000    2.950
  122.000   -8.250    0.000    2.832
  122.000   -8.500    0.000    3.169
  122.000   -8.750    0.000    3.265
  122.000   -9.000    0.000    2.757
  122.000   -9.250    0.000    2.704
  122.000   -9.500    0.000    3.063
  122.000   -9.750    0.000    3.020
  122.000  -10.000    0.000    3.021
  122.000  -10.250    0.000    3.051
  122.000  -10.500    0.000    3.088
  122.000  -10.750    0.000    3.022
  122.000  -11.000    0.000    3.002
  122.000  -11.250    0.000    3.000
  122.250   -7.500    0.000    3.000
  122.250   -7.750    0.000    2.982
  122.250   -8.000    0.000    2.929
  122.250   -8.250    0.000    2.842
  122.250   -8.500    0.000    3.090
  122.250   -8.750    0.000    3.063
  122.250   -9.000    0.000    2.600
  122.250   -9.250    0.000    2.770
  122.250   -9.500    0.000    3.067
  122.250   -9.750    0.000    2.962
  122.250  -10.000    0.000    2.975
  122.250  -10.250    0.000    3.028
  122.250  -10.500    0.000    3.113
  122.250  -10.750    0.000    3.035
  122.250  -11.000    0.000    3.005
  122.250  -11.250    0.000    3.000
  122.500   -7.500    0.000    3.000
  122.500   -7.750    0.000    2.985
  122.500   -8.000    0.000    2.929
  122.500   -8.250    0.000    3.044
  122.500   -8.500    0.000    3.102
  122.500   -8.750    0.000    2.985
  122.500   -9.000    0.000    2.635
  122.500   -9.250    0.000    2.885
  122.500   -9.500    0.000    3.087
  122.500   -9.750    0.000    2.931
  122.500  -10.000    0.000    2.904
  122.500  -10.250    0.000    2.997
  122.500  -10.500    0.000    3.043
  122.500  -10.750    0.000    3.017
  122.500  -11.000    0.000    3.003
  122.500  -11.250    0.000    3.000
  122.750   -7.500    0.000    3.000
  122.750   -7.750    0.000    2.993
  122.750   -8.000    0.000    2.940
  122.750   -8.250    0.000    3.159
  122.750   -8.500    0.000    3.143
  122.750   -8.750    0.000    3.175
  122.750   -9.000    0.000    2.781
  122.750   -9.250    0.000    2.992
  122.750   -9.500    0.000    3.123
  122.750   -9.750    0.000    2.929
  122.750  -10.000    0.000    2.933
  122.750  -10.250    0.000    3.039
  122.750  -10.500    0.000    2.983
  122.750  -10.750    0.000    2.964
  122.750  -11.000    0.000    2.990
  122.750  -11.250    0.000    3.000
  123.000   -7.500    0.000    3.000
  123.000   -7.750    0.000    3.003
  123.000   -8.000    0.000    2.997
  123.000   -8.250    0.000    3.118
  123.000   -8.500    0.000    2.806
  123.000   -8.750    0.000    3.157
  123.000   -9.000    0.000    2.914
  123.000   -9.250    0.000    3.047
  123.000   -9.500    0.000    3.107
  123.000   -9.750    0.000    2.930
  123.000  -10.000    0.000    3.007
  123.000  -10.250    0.000    3.084
  123.000  -10.500    0.000    3.032
  123.000  -10.750    0.000    2.996
  123.000  -11.000    0.000    2.995
  123.000  -11.250    0.000    3.000
  123.250   -7.500    0.000    3.000
  123.250   -7.750    0.000    3.011
  123.250   -8.000    0.000    3.055
  123.250   -8.250    0.000    3.231
  123.250   -8.500    0.000    2.881
  123.250   -8.750    0.000    2.928
  123.250   -9.000    0.000    2.961
  123.250   -9.250    0.000    3.132
  123.250   -9.500    0.000    3.084
  123.250   -9.750    0.000    2.979
  123.250  -10.000    0.000    3.068
  123.250  -10.250    0.000    3.091
  123.250  -10.500    0.000    3.058
  123.250  -10.750    0.000    3.022
  123.250  -11.000    0.000    3.004
  123.250  -11.250    0.000    3.000
  123.500   -7.500    0.000    3.000
  123.500   -7.750    0.000    3.008
  123.500   -8.000    0.000    3.042
  123.500   -8.250    0.000    3.189
  123.500   -8.500    0.000    3.055
  123.500   -8.750    0.000    2.931
  123.500   -9.000    0.000    2.984
  123.500   -9.250    0.000    3.110
  123.500   -9.500    0.000    3.005
  123.500   -9.750    0.000    2.978
  123.500  -10.000    0.000    3.067
